road_type,weather,time_of_day,avg_speed,max_speed,max_deceleration,trajectory_variance,max_iou,vehicle_count,video_file,is_accident
highway,clear,day,14.728746074980416,54.61056300846552,-126.45905159684776,0.002552663148174087,0.9891047792928979,11,accident_000.mp4,1
urban,clear,day,21.379568099420737,89.31788165704018,-113.48221998562302,0.003989272787179264,0.8987720412670239,5,accident_001.mp4,1
highway,clear,day,4.757170275471853,14.698257150000945,-27.281003288303832,0.00013672188186329785,0.0,1,accident_0010.mp4,1
urban,clear,day,15.359524604985827,82.89685628907787,-35.80354171941221,0.0019304954759107376,0.06934131284087865,3,accident_0011.mp4,1
highway,rain,night,8.008542252189,28.093676215297577,-49.04752232457734,0.001111074558219194,0.0,4,accident_0012.mp4,1
urban,clear,day,43.836481439760824,111.53532642104435,-196.96106147369125,0.006528459316136043,0.7019277564601557,10,accident_0013.mp4,1
highway,clear,day,16.209023441951164,97.5616750618312,-114.1086034317047,0.004842973761366539,0.976226196283473,20,accident_0014.mp4,1
urban,clear,day,26.025764683808447,68.93014759982397,-55.56826907109748,0.003065400927063854,0.0,2,accident_0015.mp4,1
highway,clear,day,0.9769410168683282,1.5468498229980767,-0.7985830307006836,7.641180806928803e-06,0.0,2,accident_0016.mp4,1
urban,rain,day,28.16414846994878,89.57797029315923,-36.24219032531435,0.003993423107772434,0.0,4,accident_0017.mp4,1
highway,clear,day,25.98068915333537,81.38929642992976,-201.28688927499394,0.0038113217524098097,0.7110691209465367,8,accident_0018.mp4,1
urban,clear,day,19.74111747403434,152.56909033786522,-223.35052573148585,0.00854159940120888,0.188451207521424,14,accident_0019.mp4,1
highway,clear,day,20.691261507641872,112.13268259563665,-68.69346689952081,0.0038723728822446964,0.8959009019598854,5,accident_002.mp4,1
urban,clear,day,13.955803983740783,67.17271319028686,-110.7838041555874,0.004171032086627046,0.6903774177715772,7,accident_0020.mp4,1
highway,clear,day,7.806495918942085,55.44728175746924,-89.85439099140544,0.002527892600493259,0.7513528008811177,5,accident_0021.mp4,1
urban,clear,day,21.820319480172877,102.81919448947606,-190.17699544699184,0.0035186932776447386,0.9650560101774689,43,accident_0022.mp4,1
