Start_Lat,Start_Lng,Severity
40.886649953553935,-73.73357362334168,3
40.66440749459009,-74.19891500071499,4
40.939490988335244,-74.2923696091978,2
41.24586044974281,-74.00718106009383,4
40.630846318846835,-74.06556461788372,2
40.630852065067785,-74.16462981726454,2
41.26552448542759,-73.76226439339015,1
40.98140215520352,-73.67164317700032,1
40.54848396492277,-73.97505758979786,3
40.90269601525509,-73.48886447163066,2
40.55060380751564,-74.40559118994673,2
40.549794586250414,-74.0737808107479,3
40.797486795048115,-74.25688781221098,2
40.04315191436977,-74.65928781597557,3
40.10907875862044,-74.03493824004495,2
40.51599936476566,-74.04861162793415,3
40.35830910788295,-73.47629258986525,3
40.82278656640835,-73.78521591040582,2
40.39499157356758,-74.36446538851523,2
40.21849370453265,-73.35706760178303,2
41.22577706912254,-73.57863820656613,3
40.63377829482972,-73.80226580378599,2
40.736434871640775,-74.08526943459744,2
40.21413813482529,-74.34180373285322,1
40.522266046416185,-74.13627237162487,2
40.75162290639845,-73.62493798310354,2
40.309952247902196,-73.3463947929229,3
40.844294306420984,-73.46586476510474,2
40.50257645852842,-74.1770972976252,2
40.61070718757235,-74.39786610165116,3
40.50220268571971,-73.95668981358108,3
41.36109736457813,-74.624953777947,2
40.70807597134173,-73.89289130003533,2
40.342601174865436,-74.05766090520453,2
41.00069071923612,-74.16911277565389,4
40.28550472251014,-74.56414607354338,2
40.78590225825167,-73.8262399627006,4
40.02691545664208,-74.19244529388168,3
40.24793488288555,-74.4154708924986,3
40.78170143255419,-75.01129177464858,1
40.971263302998395,-74.01563021676772,2
40.77277889841649,-73.3857119411656,2
40.67232310116412,-73.42455927490825,2
40.60741370654375,-74.1659836898052,3
40.195317303371404,-74.21677422112663,4
40.460854527061855,-73.84192901037375,3
40.551576430164076,-74.3554349037159,3
41.08279277917662,-73.90037283506318,1
40.833066401348965,-73.73787190256536,2
40.09573594562305,-73.57657337164049,2
40.82622938928818,-74.04105392676799,3
40.57802120185429,-74.07728581256194,4
40.475877299892915,-74.3132939053648,3
40.926886701094304,-74.29540812391394,1
