road_type,weather,time_of_day,avg_speed,max_speed,max_deceleration,trajectory_variance,max_iou,vehicle_count,video_file,is_accident
highway,clear,day,152.058662206919,682.0229382408284,-2711.639051469166,1375.1801429476557,0.8723740004436135,7,accident_000.mp4,1
urban,clear,day,180.94470286139943,895.0847097759549,-5259.872272133839,1389.3606404405073,0.8987720412670239,5,accident_001.mp4,1
highway,clear,day,34.55365244398108,151.56436511594555,-813.398488101624,43.2427987485933,0.0,1,accident_0010.mp4,1
urban,clear,day,52.86111094451819,552.3317226175707,-1763.6488941979915,447.78506022526284,0.0,2,accident_0011.mp4,1
highway,rain,night,45.16513737832733,199.18522188422662,-1128.9990498494867,498.737096702624,0.0,4,accident_0012.mp4,1
urban,clear,day,717.38920128515,1383.8174301471408,-780.3983862500221,2175.697955492587,0.666462516128801,4,accident_0013.mp4,1
highway,clear,day,76.9741401010109,1051.135354471207,-7410.708978755226,1644.2318105741651,0.976226196283473,18,accident_0014.mp4,1
urban,clear,day,194.92930101181042,448.0933478368487,-3946.9300790029256,1516.086762419571,0.0,2,accident_0015.mp4,1
highway,clear,day,0.0,0.0,0.0,0.0,0.0,2,accident_0016.mp4,1
urban,rain,day,39.79501553974948,39.79501553974948,0.0,3.5192072484642267,0.0,1,accident_0017.mp4,1
highway,clear,day,104.7874088190905,452.3428542860674,-3412.1510386072064,158.50849686470585,0.0,3,accident_0018.mp4,1
urban,clear,day,36.68606531547837,624.2575158683571,-5566.599837773175,251.35293487644398,0.188451207521424,8,accident_0019.mp4,1
highway,clear,day,175.4396022812912,647.3594609305914,-3427.2455634464072,1040.9699846940769,0.8959009019598854,4,accident_002.mp4,1
urban,clear,day,110.00055551740908,1053.9374699115808,-5364.84031115652,875.6876040768526,0.6290154925301559,4,accident_0020.mp4,1
highway,clear,day,51.29069595507688,1214.9386815686935,-13072.956823241992,701.8387305220742,0.8087776876057021,5,accident_0021.mp4,1
